experiment_name,eqsat_time,segments
jaxmd_tau=25-cpu_2025-03-24_05:49:41,0.45943,3
jaxmd_tau=25-cpu_2025-03-24_05:49:41,0.22465,2
jaxmd_tau=25-cpu_2025-03-24_05:49:41,1.4449,4
jaxmd_tau=25-cpu_2025-03-24_05:49:41,0.28743,3
jaxmd_tau=25-cpu_2025-03-24_05:49:41,0.22246,2
jaxmd_tau=25-cpu_2025-03-24_05:49:41,0.94126,4
jaxmd_tau=25-cpu_2025-03-24_05:49:41,45.66,6
jaxmd_tau=100-cpu_2025-03-24_05:49:41,0.55447,1
jaxmd_tau=100-cpu_2025-03-24_05:49:41,0.16188,1
jaxmd_tau=100-cpu_2025-03-24_05:49:41,1.3236,1
jaxmd_tau=100-cpu_2025-03-24_05:49:41,0.38689,1
jaxmd_tau=100-cpu_2025-03-24_05:49:41,0.15923,1
jaxmd_tau=100-cpu_2025-03-24_05:49:41,0.79413,1
jaxmd_tau=100-cpu_2025-03-24_05:49:41,45.945,2
jaxmd_tau=500-cpu_2025-03-24_05:49:41,0.5654,1
jaxmd_tau=500-cpu_2025-03-24_05:49:41,0.16149,1
jaxmd_tau=500-cpu_2025-03-24_05:49:41,1.3004,1
jaxmd_tau=500-cpu_2025-03-24_05:49:41,0.3914,1
jaxmd_tau=500-cpu_2025-03-24_05:49:41,0.16006,1
jaxmd_tau=500-cpu_2025-03-24_05:49:41,0.80154,1
jaxmd_tau=500-cpu_2025-03-24_05:49:41,45.483,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,0.5588,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,0.16191,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,1.286,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,0.38691,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,0.15809,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,0.79267,1
jaxmd_tau=1000-cpu_2025-03-24_05:49:41,44.548,1
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,0.56218,1
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,0.16279,1
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,1.2964,1
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,0.38991,1
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,0.1606,1
jaxmd_tau=5000-cpu_2025-03-24_05:49:41,0.79923,1
